datetime,Achat Ecocup,Biere 25cl,Cafe,Carte Cashless,Cidre,Croque Choco,Frite,Hot-Dog,Menu Classique,Menu Vegetarien,Remboursement Ecocup,Sandwich Vege,Soft,Tee-shirts
2019-04-05 23:54:00,1,16,,,1,,,1,,,,,1,
2019-04-05 23:55:00,1,25,,1,2,2,1,1,2,,,,,
2019-04-05 23:56:00,1,15,,1,4,,1,,,,,,2,
2019-04-05 23:57:00,2,14,,,,,1,1,,,,,,
2019-04-05 23:58:00,,15,,,,,,,,,,,1,
2019-04-05 23:59:00,,7,,1,1,,1,,,,,,2,2
2019-04-06 00:00:00,1,13,,,,,,,1,,,,2,
2019-04-06 00:01:00,1,11,,,,,1,,,,,,2,
2019-04-06 00:02:00,,1,,,,,,,,,,,1,
2019-04-06 00:03:00,,,,3,,,,,,,,,,
2019-04-06 00:04:00,,,,,,,1,,1,,,,,
2019-04-06 00:05:00,,,,,,,,,,,,1,,
2019-04-06 00:06:00,,4,,1,,,,,,,,,2,
2019-04-06 00:07:00,,,,,,,,,,,,,2,
2019-04-06 00:08:00,,,,,,,1,,,,,,,2
2019-04-06 00:12:00,,,,,,,2,,,,,,,1
2019-04-06 00:14:00,,,,,,2,,,,,,,,
2019-04-06 00:15:00,,,,,,1,,,,,,,,
2019-04-06 00:18:00,,,,1,,,,,,,,,,
2019-04-06 00:19:00,,,,,,1,,,,,,,,
2019-04-06 00:22:00,,,,,,1,,,,,,,,
2019-04-06 00:31:00,,,,,,,,,,,,,,2
2019-04-06 00:32:00,,,,2,,,,,,,,,,
2019-04-06 12:01:00,,1,,,,,,,,,,,,
2019-04-06 12:04:00,,1,,,,,,,,,,,,
2019-04-06 12:06:00,,,3,,,,,,,,,,,
2019-04-06 12:07:00,,1,,,,,,,,,,,,
2019-04-06 12:14:00,,1,,,,,,,,,,,,
2019-04-06 12:15:00,1,,,1,1,,,,,,,,1,
2019-04-06 12:16:00,,1,,,,,,,,,,,,
2019-04-06 12:17:00,,2,,,,,,,,,,,,
2019-04-06 12:18:00,,1,,,,,,,,,,,,
2019-04-06 12:19:00,2,,2,,,,,,,,,,,
2019-04-06 12:23:00,1,,,,,,,,,,,,,
2019-04-06 12:24:00,,2,,,2,,,,,,,,,
2019-04-06 12:26:00,2,1,,,,,,,,,,,,
2019-04-06 12:27:00,1,,1,,,,,,,,,,,
2019-04-06 12:33:00,2,2,,,,,,,,,,,,
2019-04-06 12:37:00,,,1,,,,,,,,,,,
2019-04-06 12:43:00,1,,1,,,,,,,,,,,
2019-04-06 12:44:00,,,1,,,,,,,,,,,
2019-04-06 12:45:00,,2,,,,,,,,,,,,
2019-04-06 12:47:00,1,,,,1,,,,,,,,,
2019-04-06 12:48:00,,2,,,2,,,,,,,,,
2019-04-06 12:49:00,2,,2,,,,,,,,,,,
2019-04-06 13:02:00,1,,3,,,,,,,,,,,
2019-04-06 13:03:00,,,1,,,,,,,,,,,
2019-04-06 13:05:00,,2,,,,,,,,,,,,
2019-04-06 13:07:00,1,4,,,,,,,,,,,,
2019-04-06 13:09:00,,,2,,,,,,,,,,,
2019-04-06 13:13:00,1,1,3,,,,,,,,,,,
2019-04-06 13:14:00,,1,,,,,,,,,,,,
2019-04-06 13:16:00,,3,,,,,,,,,,,,
2019-04-06 13:20:00,,,1,,,,,,,,,,,
2019-04-06 13:21:00,2,,,,2,,,,,,,,,
2019-04-06 13:22:00,2,,2,,,,,,,,,,,
2019-04-06 13:26:00,,2,,,,,,,,,,,,
2019-04-06 13:27:00,3,3,,,,,,,,,,,,
2019-04-06 13:30:00,,1,,,,,,,,,,,,
2019-04-06 13:36:00,,,,,3,,,,,,,,,
2019-04-06 13:40:00,1,1,,,,,,,,,1,,,
2019-04-06 13:42:00,,2,,,,,,,,,,,,
2019-04-06 13:55:00,2,,2,,,,,,,,,,,
2019-04-06 13:56:00,,2,,,,,,,,,,,,
2019-04-06 13:59:00,,1,,,,,,,,,,,,
2019-04-06 14:00:00,2,,,,,,,,,,,,2,
2019-04-06 14:01:00,,1,,,,,,,,,,,,
2019-04-06 14:02:00,,1,,,,,,,,,,,,
2019-04-06 14:04:00,2,2,,,,,,,,,,,,
2019-04-06 14:06:00,,1,,,,,,,,,,,,
2019-04-06 14:09:00,,2,,,2,,,,,,,,,
2019-04-06 14:10:00,,1,,,2,,,,,,,,,
2019-04-06 14:11:00,,,,,1,,,,,,,,,
2019-04-06 14:13:00,2,,,,,,,,,,,,,
2019-04-06 14:14:00,,1,,,,,,,,,,,,
2019-04-06 14:15:00,,1,,,,,,,,,,,,
2019-04-06 14:16:00,,,,,2,,,,,,,,,
2019-04-06 14:18:00,,,,,1,,,,,,,,,
2019-04-06 14:21:00,,2,,,,,,,,,,,,
2019-04-06 14:25:00,,,,,2,,,,,,,,,
2019-04-06 14:28:00,,1,,,,,,,,,,,,
2019-04-06 14:32:00,1,,,,,,,,,,,,,
2019-04-06 14:34:00,2,1,,,1,,,,,,,,,
2019-04-06 14:39:00,,,2,,,,,,,,,,,
2019-04-06 14:43:00,1,3,,,,,,,,,,,,
2019-04-06 14:44:00,,,,,2,,,,,,,,,
2019-04-06 14:49:00,,,,,2,,,,,,,,,
2019-04-06 14:50:00,,3,,,,,,,,,,,,
2019-04-06 14:51:00,,1,,,,,,,,,,,,
2019-04-06 14:52:00,,,,,1,,,,,,,,,
2019-04-06 14:53:00,,2,,,,,,,,,,,,
2019-04-06 14:54:00,,1,,,,,,,,,,,,
2019-04-06 14:55:00,,,,,1,,,,,,,,,
2019-04-06 14:57:00,,,,,1,,,,,,,,,
2019-04-06 14:58:00,3,1,2,,,,,,,,,,,
2019-04-06 15:00:00,,,1,,,,,,,,,,,
2019-04-06 15:08:00,,3,,,,,,,,,,,1,
2019-04-06 15:09:00,1,,,,,,,,,,,,1,
2019-04-06 15:10:00,,1,,,,,,,,,,,,
2019-04-06 15:14:00,,1,,,,,,,,,,,,
2019-04-06 15:16:00,,3,,,,,,,,,,,,
2019-04-06 15:17:00,,,,,,,,,,,,,1,
2019-04-06 15:19:00,,1,,,,,,,,,,,,
2019-04-06 15:24:00,,,,,,,,,,,,,2,
2019-04-06 15:25:00,2,2,,,,,,,,,,,,
2019-04-06 15:26:00,,2,,,,,,,,,,,,
2019-04-06 15:27:00,,1,,,,,,,,,,,,
2019-04-06 15:28:00,2,2,,,2,,,,,,,,,
2019-04-06 15:30:00,,2,1,,,,,,,,,,,
2019-04-06 15:31:00,,2,,,,,,,,,,,,
2019-04-06 15:33:00,,1,,,,,,,,,,,,
2019-04-06 15:34:00,,1,,,,,,,,,,,,
2019-04-06 16:40:00,,,,,,1,,,,,,,,
2019-04-06 16:41:00,,,,,,1,,,,,,,,
2019-04-06 16:42:00,,,,,,,1,,,,,,,
2019-04-06 16:43:00,,,,,,,1,,,,,,,
2019-04-06 16:46:00,,,,1,,,,,,,,,,
2019-04-06 16:47:00,1,,,,,,,,,,,,,1
